Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,550
Conversion Gain:,1024
Coarse Gain:,64
Fine Gain:,1.12
Upper Discriminator:,2437
Lower Discriminator:,2
Calibration Coefficients:,-30.635802469135797,2.3549382716049383
Calibration Channels:,230,554
Calibration Energies:,511.0,1274.0
Elapsed Real Time:,112.29
Elapsed Live Time:,108.6
Start Time:,April 24, 2023, 02:55:25
End Time:,April 24, 2023, 03:06:40
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid

1,220,241,44873,11641,16,512
2,543,566,4938,629,7,1275
4,297,464,17808,2099,14,868

Channel Data:
Channel,Energy,Counts
118,247.24691358024694,686
119,249.60185185185185,715
120,251.9567901234568,696
121,254.31172839506172,732
122,256.6666666666667,748
123,259.0216049382716,722
124,261.37654320987656,729
125,263.73148148148147,663
126,266.08641975308643,711
127,268.44135802469134,655
128,270.7962962962963,655
129,273.15123456790127,687
130,275.5061728395062,697
131,277.86111111111114,718
132,280.21604938271605,689
133,282.570987654321,651
134,284.9259259259259,675
135,287.2808641975309,682
136,289.6358024691358,692
137,291.99074074074076,655
138,294.34567901234567,699
139,296.70061728395063,644
140,299.05555555555554,653
141,301.4104938271605,693
142,303.7654320987654,646
143,306.1203703703704,650
144,308.4753086419753,618
145,310.83024691358025,659
146,313.1851851851852,584
147,315.5401234567901,590
148,317.8950617283951,601
149,320.25,562
150,322.60493827160496,505
151,324.9598765432099,528
152,327.31481481481484,500
153,329.66975308641975,522
154,332.0246913580247,485
155,334.3796296296296,415
156,336.7345679012346,442
157,339.0895061728395,420
158,341.44444444444446,417
159,343.79938271604937,359
160,346.15432098765433,371
161,348.5092592592593,350
162,350.8641975308642,375
163,353.21913580246917,301
164,355.5740740740741,338
165,357.92901234567904,309
166,360.28395061728395,268
167,362.6388888888889,270
168,364.9938271604938,293
169,367.3487654320988,273
170,369.7037037037037,260
171,372.05864197530866,264
172,374.41358024691357,262
173,376.76851851851853,234
174,379.12345679012344,235
175,381.4783950617284,233
176,383.83333333333337,255
177,386.1882716049383,205
178,388.54320987654324,233
179,390.89814814814815,229
180,393.2530864197531,211
181,395.608024691358,211
182,397.962962962963,194
183,400.3179012345679,227
184,402.67283950617286,215
185,405.02777777777777,221
186,407.38271604938274,200
187,409.73765432098764,184
188,412.0925925925926,189
189,414.4475308641975,190
190,416.8024691358025,212
191,419.1574074074074,207
192,421.51234567901236,226
193,423.8672839506173,204
194,426.22222222222223,205
195,428.5771604938272,206
196,430.9320987654321,212
197,433.28703703703707,247
198,435.641975308642,239
199,437.99691358024694,248
200,440.35185185185185,251
201,442.7067901234568,281
202,445.0617283950617,287
203,447.4166666666667,327
204,449.7716049382716,298
205,452.12654320987656,357
206,454.48148148148147,366
207,456.83641975308643,438
208,459.19135802469134,453
209,461.5462962962963,520
210,463.90123456790127,618
211,466.2561728395062,662
212,468.61111111111114,706
213,470.96604938271605,819
214,473.320987654321,807
215,475.6759259259259,1031
216,478.0308641975309,1071
217,480.3858024691358,1183
218,482.74074074074076,1345
219,485.0956790123457,1511
220,487.4506172839506,1522
221,489.80555555555554,1650
222,492.1604938271605,1762
223,494.5154320987655,1882
224,496.87037037037044,2120
225,499.2253086419753,2200
226,501.58024691358025,2160
227,503.9351851851852,2251
228,506.2901234567902,2326
229,508.64506172839504,2321
230,511.0,2376
231,513.354938271605,2341
232,515.7098765432099,2349
233,518.0648148148148,2351
234,520.4197530864197,2322
235,522.7746913580247,2174
236,525.1296296296297,2109
237,527.4845679012345,1914
238,529.8395061728395,1895
239,532.1944444444445,1743
240,534.5493827160494,1658
241,536.9043209876544,1447
242,539.2592592592592,1280
243,541.6141975308642,1192
244,543.9691358024692,1066
245,546.3240740740741,967
246,548.679012345679,847
247,551.033950617284,700
248,553.3888888888889,598
249,555.7438271604939,562
250,558.0987654320987,451
251,560.4537037037037,383
252,562.8086419753087,304
253,565.1635802469136,282
254,567.5185185185185,234
255,569.8734567901234,211
256,572.2283950617284,167
257,574.5833333333334,171
258,576.9382716049383,146
259,579.2932098765432,163
260,581.6481481481482,127
261,584.0030864197531,116
262,586.3580246913581,120
263,588.7129629629629,118
264,591.0679012345679,97
265,593.4228395061729,107
266,595.7777777777778,116
267,598.1327160493827,113
268,600.4876543209876,97
269,602.8425925925926,95
270,605.1975308641976,92
271,607.5524691358024,97
272,609.9074074074074,95
273,612.2623456790124,99
274,614.6172839506173,106
275,616.9722222222223,95
276,619.3271604938271,83
277,621.6820987654321,96
278,624.0370370370371,114
279,626.391975308642,115
280,628.7469135802469,109
281,631.1018518518518,88
282,633.4567901234568,98
283,635.8117283950618,99
284,638.1666666666666,100
285,640.5216049382716,104
286,642.8765432098766,110
287,645.2314814814815,90
288,647.5864197530864,101
289,649.9413580246913,118
290,652.2962962962963,125
291,654.6512345679013,102
292,657.0061728395062,105
293,659.3611111111111,96
294,661.716049382716,107
295,664.070987654321,82
296,666.425925925926,101
297,668.7808641975308,110
298,671.1358024691358,109
299,673.4907407407408,106
300,675.8456790123457,116
301,678.2006172839506,102
302,680.5555555555555,122
303,682.9104938271605,99
304,685.2654320987655,102
305,687.6203703703704,107
306,689.9753086419753,103
307,692.3302469135803,94
308,694.6851851851852,115
309,697.0401234567902,108
310,699.395061728395,99
311,701.75,84
312,704.104938271605,108
313,706.4598765432099,111
314,708.8148148148148,106
315,711.1697530864197,88
316,713.5246913580247,93
317,715.8796296296297,100
318,718.2345679012345,107
319,720.5895061728395,90
320,722.9444444444445,103
321,725.2993827160494,112
322,727.6543209876544,111
323,730.0092592592592,83
324,732.3641975308642,94
