Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,550
Conversion Gain:,1024
Coarse Gain:,64
Fine Gain:,1.12
Upper Discriminator:,2437
Lower Discriminator:,2
Calibration Coefficients:,-30.635802469135797,2.3549382716049383
Calibration Channels:,230,554
Calibration Energies:,511.0,1274.0
Elapsed Real Time:,157.72
Elapsed Live Time:,152.04
Start Time:,April 24, 2023, 03:20:35
End Time:,April 24, 2023, 03:23:13
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
122,256.6666666666667,596
123,259.0216049382716,641
124,261.37654320987656,610
125,263.73148148148147,651
126,266.08641975308643,635
127,268.44135802469134,597
128,270.7962962962963,577
129,273.15123456790127,614
130,275.5061728395062,578
131,277.86111111111114,597
132,280.21604938271605,596
133,282.570987654321,551
134,284.9259259259259,637
135,287.2808641975309,561
136,289.6358024691358,573
137,291.99074074074076,578
138,294.34567901234567,554
139,296.70061728395063,515
140,299.05555555555554,614
141,301.4104938271605,576
142,303.7654320987654,515
143,306.1203703703704,532
144,308.4753086419753,512
145,310.83024691358025,534
146,313.1851851851852,551
147,315.5401234567901,538
148,317.8950617283951,554
149,320.25,537
150,322.60493827160496,490
151,324.9598765432099,527
152,327.31481481481484,502
153,329.66975308641975,487
154,332.0246913580247,523
155,334.3796296296296,485
156,336.7345679012346,443
157,339.0895061728395,478
158,341.44444444444446,469
159,343.79938271604937,513
160,346.15432098765433,451
161,348.5092592592593,489
162,350.8641975308642,472
163,353.21913580246917,462
164,355.5740740740741,462
165,357.92901234567904,472
166,360.28395061728395,437
167,362.6388888888889,484
168,364.9938271604938,462
169,367.3487654320988,437
170,369.7037037037037,412
171,372.05864197530866,457
172,374.41358024691357,431
173,376.76851851851853,414
174,379.12345679012344,462
175,381.4783950617284,437
176,383.83333333333337,436
177,386.1882716049383,387
178,388.54320987654324,425
179,390.89814814814815,405
180,393.2530864197531,424
181,395.608024691358,419
182,397.962962962963,394
183,400.3179012345679,410
184,402.67283950617286,418
185,405.02777777777777,391
186,407.38271604938274,409
187,409.73765432098764,423
188,412.0925925925926,411
189,414.4475308641975,407
190,416.8024691358025,407
191,419.1574074074074,386
192,421.51234567901236,383
193,423.8672839506173,389
194,426.22222222222223,432
195,428.5771604938272,388
196,430.9320987654321,369
197,433.28703703703707,407
198,435.641975308642,380
199,437.99691358024694,394
200,440.35185185185185,395
201,442.7067901234568,366
202,445.0617283950617,399
203,447.4166666666667,391
204,449.7716049382716,377
205,452.12654320987656,356
206,454.48148148148147,388
207,456.83641975308643,377
208,459.19135802469134,386
209,461.5462962962963,387
210,463.90123456790127,379
211,466.2561728395062,364
212,468.61111111111114,382
213,470.96604938271605,378
214,473.320987654321,358
215,475.6759259259259,391
216,478.0308641975309,362
217,480.3858024691358,350
218,482.74074074074076,363
219,485.0956790123457,377
220,487.4506172839506,374
221,489.80555555555554,361
222,492.1604938271605,388
223,494.5154320987655,386
224,496.87037037037044,358
225,499.2253086419753,369
226,501.58024691358025,384
227,503.9351851851852,356
228,506.2901234567902,383
229,508.64506172839504,353
230,511.0,372
231,513.354938271605,366
232,515.7098765432099,379
233,518.0648148148148,359
234,520.4197530864197,373
235,522.7746913580247,345
236,525.1296296296297,357
237,527.4845679012345,325
238,529.8395061728395,401
239,532.1944444444445,389
240,534.5493827160494,406
241,536.9043209876544,363
242,539.2592592592592,360
243,541.6141975308642,372
244,543.9691358024692,366
245,546.3240740740741,351
246,548.679012345679,362
247,551.033950617284,380
248,553.3888888888889,376
249,555.7438271604939,354
250,558.0987654320987,352
251,560.4537037037037,349
252,562.8086419753087,372
253,565.1635802469136,358
254,567.5185185185185,336
255,569.8734567901234,348
256,572.2283950617284,362
257,574.5833333333334,344
258,576.9382716049383,354
259,579.2932098765432,331
260,581.6481481481482,341
261,584.0030864197531,333
262,586.3580246913581,362
263,588.7129629629629,354
264,591.0679012345679,373
265,593.4228395061729,364
266,595.7777777777778,310
267,598.1327160493827,334
268,600.4876543209876,342
269,602.8425925925926,390
270,605.1975308641976,342
271,607.5524691358024,322
272,609.9074074074074,357
273,612.2623456790124,345
274,614.6172839506173,343
275,616.9722222222223,338
276,619.3271604938271,366
277,621.6820987654321,338
278,624.0370370370371,362
279,626.391975308642,339
280,628.7469135802469,356
281,631.1018518518518,322
282,633.4567901234568,358
283,635.8117283950618,341
284,638.1666666666666,351
285,640.5216049382716,328
286,642.8765432098766,350
287,645.2314814814815,339
288,647.5864197530864,380
289,649.9413580246913,364
290,652.2962962962963,363
291,654.6512345679013,363
292,657.0061728395062,314
293,659.3611111111111,361
294,661.716049382716,373
295,664.070987654321,343
296,666.425925925926,373
297,668.7808641975308,348
298,671.1358024691358,342
299,673.4907407407408,394
300,675.8456790123457,360
301,678.2006172839506,353
302,680.5555555555555,357
303,682.9104938271605,349
304,685.2654320987655,372
305,687.6203703703704,361
306,689.9753086419753,345
307,692.3302469135803,355
308,694.6851851851852,347
309,697.0401234567902,344
310,699.395061728395,377
311,701.75,361
312,704.104938271605,317
313,706.4598765432099,360
314,708.8148148148148,347
315,711.1697530864197,346
316,713.5246913580247,364
317,715.8796296296297,348
318,718.2345679012345,356
319,720.5895061728395,328
320,722.9444444444445,360
321,725.2993827160494,352
322,727.6543209876544,351
323,730.0092592592592,391
324,732.3641975308642,340
325,734.7191358024692,355
326,737.0740740740741,358
327,739.429012345679,355
328,741.783950617284,346
329,744.1388888888889,367
330,746.4938271604939,350
331,748.8487654320987,375
