Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,550
Conversion Gain:,1024
Coarse Gain:,64
Fine Gain:,1.12
Upper Discriminator:,2437
Lower Discriminator:,2
Calibration Coefficients:,-30.635802469135797,2.3549382716049383
Calibration Channels:,230,554
Calibration Energies:,511.0,1274.0
Elapsed Real Time:,83.56
Elapsed Live Time:,77.2
Start Time:,April 24, 2023, 04:27:39
End Time:,April 24, 2023, 04:29:02
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid

1,175,188,12259,-1383,0,393
2,156,169,37450,4549,9,352

Channel Data:
Channel,Energy,Counts
116,242.53703703703707,507
117,244.89197530864197,524
118,247.24691358024694,590
119,249.60185185185185,588
120,251.9567901234568,644
121,254.31172839506172,697
122,256.6666666666667,695
123,259.0216049382716,786
124,261.37654320987656,808
125,263.73148148148147,903
126,266.08641975308643,890
127,268.44135802469134,1036
128,270.7962962962963,1036
129,273.15123456790127,1089
130,275.5061728395062,1132
131,277.86111111111114,1134
132,280.21604938271605,1218
133,282.570987654321,1365
134,284.9259259259259,1407
135,287.2808641975309,1388
136,289.6358024691358,1387
137,291.99074074074076,1446
138,294.34567901234567,1510
139,296.70061728395063,1466
140,299.05555555555554,1514
141,301.4104938271605,1422
142,303.7654320987654,1445
143,306.1203703703704,1382
144,308.4753086419753,1423
145,310.83024691358025,1404
146,313.1851851851852,1357
147,315.5401234567901,1354
148,317.8950617283951,1448
149,320.25,1530
150,322.60493827160496,1595
151,324.9598765432099,1585
152,327.31481481481484,1709
153,329.66975308641975,1879
154,332.0246913580247,1926
155,334.3796296296296,2147
156,336.7345679012346,2304
157,339.0895061728395,2519
158,341.44444444444446,2569
159,343.79938271604937,2589
160,346.15432098765433,2830
161,348.5092592592593,2833
162,350.8641975308642,2936
163,353.21913580246917,2822
164,355.5740740740741,2842
165,357.92901234567904,2880
166,360.28395061728395,2804
167,362.6388888888889,2665
168,364.9938271604938,2475
169,367.3487654320988,2382
170,369.7037037037037,2278
171,372.05864197530866,2123
172,374.41358024691357,2081
173,376.76851851851853,1823
174,379.12345679012344,1647
175,381.4783950617284,1526
176,383.83333333333337,1425
177,386.1882716049383,1217
178,388.54320987654324,1155
179,390.89814814814815,1055
180,393.2530864197531,943
181,395.608024691358,822
182,397.962962962963,814
183,400.3179012345679,690
184,402.67283950617286,642
185,405.02777777777777,596
186,407.38271604938274,536
187,409.73765432098764,438
188,412.0925925925926,400
189,414.4475308641975,417
190,416.8024691358025,346
191,419.1574074074074,303
192,421.51234567901236,263
193,423.8672839506173,268
194,426.22222222222223,245
195,428.5771604938272,244
196,430.9320987654321,219
197,433.28703703703707,211
198,435.641975308642,213
199,437.99691358024694,185
200,440.35185185185185,180
201,442.7067901234568,201
202,445.0617283950617,185
203,447.4166666666667,196
204,449.7716049382716,193
205,452.12654320987656,164
206,454.48148148148147,174
207,456.83641975308643,152
208,459.19135802469134,140
209,461.5462962962963,130
210,463.90123456790127,116
211,466.2561728395062,124
212,468.61111111111114,134
213,470.96604938271605,108
214,473.320987654321,87
215,475.6759259259259,85
216,478.0308641975309,77
217,480.3858024691358,65
218,482.74074074074076,65
219,485.0956790123457,59
220,487.4506172839506,52
221,489.80555555555554,52
222,492.1604938271605,40
223,494.5154320987655,38
224,496.87037037037044,30
225,499.2253086419753,24
226,501.58024691358025,30
227,503.9351851851852,21
228,506.2901234567902,19
229,508.64506172839504,20
230,511.0,17
231,513.354938271605,16
232,515.7098765432099,16
233,518.0648148148148,20
234,520.4197530864197,20
235,522.7746913580247,14
236,525.1296296296297,18
237,527.4845679012345,15
238,529.8395061728395,17
239,532.1944444444445,13
240,534.5493827160494,18
241,536.9043209876544,15
242,539.2592592592592,15
243,541.6141975308642,10
244,543.9691358024692,16
245,546.3240740740741,12
246,548.679012345679,13
247,551.033950617284,12
248,553.3888888888889,3
249,555.7438271604939,10
250,558.0987654320987,10
251,560.4537037037037,6
252,562.8086419753087,14
253,565.1635802469136,13
254,567.5185185185185,9
255,569.8734567901234,7
256,572.2283950617284,8
257,574.5833333333334,2
258,576.9382716049383,7
259,579.2932098765432,6
260,581.6481481481482,11
261,584.0030864197531,4
262,586.3580246913581,13
263,588.7129629629629,12
264,591.0679012345679,13
265,593.4228395061729,4
266,595.7777777777778,8
267,598.1327160493827,17
268,600.4876543209876,15
269,602.8425925925926,8
270,605.1975308641976,7
271,607.5524691358024,12
272,609.9074074074074,12
273,612.2623456790124,8
274,614.6172839506173,18
275,616.9722222222223,11
276,619.3271604938271,8
277,621.6820987654321,9
278,624.0370370370371,9
279,626.391975308642,9
280,628.7469135802469,15
281,631.1018518518518,12
282,633.4567901234568,15
283,635.8117283950618,10
284,638.1666666666666,16
285,640.5216049382716,7
286,642.8765432098766,15
287,645.2314814814815,17
288,647.5864197530864,14
289,649.9413580246913,24
290,652.2962962962963,13
291,654.6512345679013,9
292,657.0061728395062,22
293,659.3611111111111,24
294,661.716049382716,17
295,664.070987654321,11
296,666.425925925926,15
297,668.7808641975308,10
298,671.1358024691358,13
299,673.4907407407408,9
300,675.8456790123457,11
301,678.2006172839506,10
302,680.5555555555555,16
303,682.9104938271605,14
304,685.2654320987655,13
305,687.6203703703704,10
306,689.9753086419753,9
307,692.3302469135803,19
308,694.6851851851852,5
309,697.0401234567902,6
310,699.395061728395,6
311,701.75,9
312,704.104938271605,13
313,706.4598765432099,7
314,708.8148148148148,9
315,711.1697530864197,9
316,713.5246913580247,5
317,715.8796296296297,7
318,718.2345679012345,6
319,720.5895061728395,5
320,722.9444444444445,5
321,725.2993827160494,7
