Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,550
Conversion Gain:,1024
Coarse Gain:,64
Fine Gain:,1.50
Upper Discriminator:,1350
Lower Discriminator:,2
Calibration Coefficients:,-4.625424416207755E-4,1.7945540655134389,-22.043297994554017
Calibration Channels:,82,155,216
Calibration Energies:,122.0,245.0,344.0
Elapsed Real Time:,144.04
Elapsed Live Time:,126.49
Start Time:,April 24, 2023, 04:57:47
End Time:,April 24, 2023, 05:01:16
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid

1,309,325,2954,206,5,500

Channel Data:
Channel,Energy,Counts
447,687.7022265721477,129
448,689.0828051524105,122
449,690.4624586477901,140
450,691.8411870582864,110
451,693.2189903838996,113
452,694.5958686246295,122
453,695.971821780476,111
454,697.3468498514395,109
455,698.7209528375197,124
456,700.0941307387166,106
457,701.4663835550302,120
458,702.8377112864606,121
459,704.2081139330079,118
460,705.5775914946719,113
461,706.9461439714524,128
462,708.3137713633499,118
463,709.6804736703642,120
464,711.0462508924952,122
465,712.4111030297429,120
466,713.7750300821074,123
467,715.1380320495887,150
468,716.5001089321867,142
469,717.8612607299013,121
470,719.221487442733,131
471,720.5807890706812,126
472,721.9391656137464,123
473,723.296617071928,136
474,724.6531434452266,141
475,726.0087447336421,121
476,727.3634209371742,127
477,728.7171720558229,125
478,730.0699980895885,138
479,731.4218990384709,126
480,732.77287490247,110
481,734.1229256815859,116
482,735.4720513758184,122
483,736.8202519851679,130
484,738.167527509634,144
485,739.513877949217,138
486,740.8593033039166,116
487,742.203803573733,116
488,743.5473787586662,120
489,744.8900288587162,137
490,746.2317538738828,134
491,747.5725538041663,119
492,748.9124286495666,141
493,750.2513784100836,119
494,751.5894030857172,137
495,752.9265026764677,130
496,754.262677182335,160
497,755.597926603319,136
498,756.9322509394198,129
499,758.2656501906373,131
500,759.5981243569715,153
501,760.9296734384227,144
502,762.2602974349903,126
503,763.589996346675,150
504,764.9187701734763,140
505,766.2466189153944,135
506,767.5735425724291,138
507,768.8995411445808,139
508,770.2246146318491,134
509,771.5487630342343,118
510,772.871986351736,128
511,774.1942845843547,123
512,775.5156577320902,117
513,776.8361057949423,122
514,778.1556287729112,142
515,779.4742266659969,135
516,780.7918994741992,139
517,782.1086471975185,129
518,783.4244698359544,108
519,784.739367389507,125
520,786.0533398581765,144
521,787.3663872419628,133
522,788.6785095408658,126
523,789.9897067548854,129
524,791.2999788840219,127
525,792.6093259282752,120
526,793.9177478876452,127
527,795.2252447621319,103
528,796.5318165517355,105
529,797.8374632564557,146
530,799.1421848762928,119
531,800.4459814112465,114
532,801.7488528613171,110
533,803.0507992265044,96
534,804.3518205068085,95
535,805.6519167022293,102
536,806.9510878127669,101
537,808.2493338384213,102
538,809.5466547791924,89
539,810.8430506350802,91
540,812.1385214060848,72
541,813.4330670922062,87
542,814.7266876934444,74
543,816.0193832097992,92
544,817.311153641271,87
545,818.6019989878594,91
546,819.8919192495646,92
547,821.1809144263865,65
548,822.4689845183251,83
549,823.7561295253806,74
550,825.0423494475529,67
551,826.3276442848418,44
552,827.6120140372475,55
553,828.8954587047699,61
554,830.1779782874092,62
555,831.4595727851653,51
556,832.7402421980379,55
557,834.0199865260274,56
558,835.2988057691338,60
559,836.5766999273568,54
560,837.8536690006965,34
561,839.1297129891532,36
562,840.4048318927264,44
563,841.6790257114166,41
564,842.9522944452233,35
565,844.2246380941469,41
